36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
14:48:13.0 (325506)|USER_INFO|[EXTERNAL]|005f4000001iPIc|lrodriguez-onboarding@altimetrik.com|Argentine Time|GMT-03:00
14:48:13.0 (397585)|EXECUTION_STARTED
14:48:13.0 (406996)|CODE_UNIT_STARTED|[EXTERNAL]|01pf400000ARf7J|testCompensationController.testDataSetup
14:48:13.0 (618188)|HEAP_ALLOCATE|[72]|Bytes:3
14:48:13.0 (666754)|HEAP_ALLOCATE|[77]|Bytes:152
14:48:13.0 (689929)|HEAP_ALLOCATE|[342]|Bytes:408
14:48:13.0 (711062)|HEAP_ALLOCATE|[355]|Bytes:408
14:48:13.0 (724525)|HEAP_ALLOCATE|[467]|Bytes:48
14:48:13.0 (753986)|HEAP_ALLOCATE|[139]|Bytes:6
14:48:13.0 (770007)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:138
14:48:13.0 (787379)|METHOD_ENTRY|[2]|01pf400000ARf7J|testCompensationController.testCompensationController()
14:48:13.0 (793557)|STATEMENT_EXECUTE|[2]
14:48:13.0 (797404)|STATEMENT_EXECUTE|[2]
14:48:13.0 (801126)|METHOD_EXIT|[2]|testCompensationController
14:48:13.0 (961857)|HEAP_ALLOCATE|[50]|Bytes:5
14:48:13.0 (992114)|HEAP_ALLOCATE|[56]|Bytes:5
14:48:13.0 (1006491)|HEAP_ALLOCATE|[64]|Bytes:7
14:48:13.0 (1060290)|STATEMENT_EXECUTE|[4]
14:48:13.0 (1063885)|STATEMENT_EXECUTE|[5]
14:48:13.0 (1119735)|HEAP_ALLOCATE|[5]|Bytes:4
14:48:13.0 (1223963)|HEAP_ALLOCATE|[5]|Bytes:4
14:48:13.0 (1298113)|VARIABLE_ASSIGNMENT|[5]|this.LastName|"Diaz"|0x569ef24b
14:48:13.0 (1337685)|VARIABLE_SCOPE_BEGIN|[5]|c|Contact|true|false
14:48:13.0 (1367219)|VARIABLE_ASSIGNMENT|[5]|c|{"LastName":"Diaz"}|0x569ef24b
14:48:13.0 (1375245)|STATEMENT_EXECUTE|[6]
14:48:13.0 (1405857)|HEAP_ALLOCATE|[6]|Bytes:8
14:48:13.0 (1420745)|DML_BEGIN|[6]|Op:Insert|Type:Contact|Rows:1
14:48:13.0 (1453691)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
14:48:13.0 (10879758)|CODE_UNIT_STARTED|[EXTERNAL]|DuplicateDetector
14:48:13.0 (10908909)|DUPLICATE_DETECTION_BEGIN
14:48:13.0 (11646542)|DUPLICATE_DETECTION_RULE_INVOCATION|DuplicateRuleId:0Bmf40000038BIj|DuplicateRuleName:Standard Contact Duplicate Rule|DmlType:INSERT
14:48:13.0 (35125859)|DUPLICATE_DETECTION_MATCH_INVOCATION_DETAILS|EntityType:Contact|ActionTaken:Allow_[Alert,Report]|DuplicateRecordIds:
14:48:13.0 (35149468)|DUPLICATE_DETECTION_MATCH_INVOCATION_SUMMARY|EntityType:Contact|NumRecordsToBeSaved:1|NumRecordsToBeSavedWithDuplicates:0|NumDuplicateRecordsFound:0
14:48:13.0 (35158839)|DUPLICATE_DETECTION_MATCH_INVOCATION_DETAILS|EntityType:Contact|ActionTaken:Allow_[Alert,Report]|DuplicateRecordIds:
14:48:13.0 (35165434)|DUPLICATE_DETECTION_MATCH_INVOCATION_SUMMARY|EntityType:Contact|NumRecordsToBeSaved:1|NumRecordsToBeSavedWithDuplicates:0|NumDuplicateRecordsFound:0
14:48:13.0 (35308324)|DUPLICATE_DETECTION_END
14:48:13.0 (35314849)|CODE_UNIT_FINISHED|DuplicateDetector
14:48:13.0 (60608328)|DML_END|[6]
14:48:13.0 (60637816)|STATEMENT_EXECUTE|[8]
14:48:13.0 (60796308)|HEAP_ALLOCATE|[8]|Bytes:4
14:48:13.0 (60879925)|VARIABLE_SCOPE_BEGIN|[8]|comp_list|List<Compensation__c>|true|false
14:48:13.0 (60893705)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:48:13.0 (60910649)|VARIABLE_ASSIGNMENT|[8]|comp_list|[]|0x1e8bbc32
14:48:13.0 (60919746)|STATEMENT_EXECUTE|[9]
14:48:13.0 (60927547)|VARIABLE_SCOPE_BEGIN|[9]|i|Integer|false|false
14:48:13.0 (60936983)|HEAP_ALLOCATE|[9]|Bytes:4
14:48:13.0 (60946063)|VARIABLE_ASSIGNMENT|[9]|i|0
14:48:13.0 (60955633)|STATEMENT_EXECUTE|[9]
14:48:13.0 (60957356)|STATEMENT_EXECUTE|[10]
14:48:13.0 (60976838)|HEAP_ALLOCATE|[10]|Bytes:4
14:48:13.0 (61129320)|VARIABLE_ASSIGNMENT|[10]|this.Employee__c|"003f400000KXyvPAAT"|0x130d45fe
14:48:13.0 (61140558)|HEAP_ALLOCATE|[10]|Bytes:4
14:48:13.0 (61206925)|HEAP_ALLOCATE|[10]|Bytes:1
14:48:13.0 (61227554)|HEAP_ALLOCATE|[10]|Bytes:5
14:48:13.0 (61252631)|VARIABLE_ASSIGNMENT|[10]|this.Name|"test0"|0x130d45fe
14:48:13.0 (61259436)|HEAP_ALLOCATE|[11]|Bytes:6
14:48:13.0 (61275247)|VARIABLE_ASSIGNMENT|[10]|this.Job_Category__c|"Junior"|0x130d45fe
14:48:13.0 (61281281)|HEAP_ALLOCATE|[11]|Bytes:5
14:48:13.0 (61294503)|VARIABLE_ASSIGNMENT|[10]|this.Location__c|"India"|0x130d45fe
14:48:13.0 (61334365)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:48:13.0 (61343220)|HEAP_ALLOCATE|[9]|Bytes:4
14:48:13.0 (61350633)|VARIABLE_ASSIGNMENT|[9]|i|1
14:48:13.0 (61357705)|STATEMENT_EXECUTE|[9]
14:48:13.0 (61359479)|STATEMENT_EXECUTE|[10]
14:48:13.0 (61373212)|HEAP_ALLOCATE|[10]|Bytes:4
14:48:13.0 (61399435)|VARIABLE_ASSIGNMENT|[10]|this.Employee__c|"003f400000KXyvPAAT"|0x315eafdf
14:48:13.0 (61416825)|HEAP_ALLOCATE|[10]|Bytes:1
14:48:13.0 (61427084)|HEAP_ALLOCATE|[10]|Bytes:5
14:48:13.0 (61441752)|VARIABLE_ASSIGNMENT|[10]|this.Name|"test1"|0x315eafdf
14:48:13.0 (61455434)|VARIABLE_ASSIGNMENT|[10]|this.Job_Category__c|"Junior"|0x315eafdf
14:48:13.0 (61467349)|VARIABLE_ASSIGNMENT|[10]|this.Location__c|"India"|0x315eafdf
14:48:13.0 (61480715)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:48:13.0 (61487559)|HEAP_ALLOCATE|[9]|Bytes:4
14:48:13.0 (61493921)|VARIABLE_ASSIGNMENT|[9]|i|2
14:48:13.0 (61499096)|STATEMENT_EXECUTE|[9]
14:48:13.0 (61500648)|STATEMENT_EXECUTE|[10]
14:48:13.0 (61511277)|HEAP_ALLOCATE|[10]|Bytes:4
14:48:13.0 (61533807)|VARIABLE_ASSIGNMENT|[10]|this.Employee__c|"003f400000KXyvPAAT"|0x22377377
14:48:13.0 (61548586)|HEAP_ALLOCATE|[10]|Bytes:1
14:48:13.0 (61557945)|HEAP_ALLOCATE|[10]|Bytes:5
14:48:13.0 (61577056)|VARIABLE_ASSIGNMENT|[10]|this.Name|"test2"|0x22377377
14:48:13.0 (61590976)|VARIABLE_ASSIGNMENT|[10]|this.Job_Category__c|"Junior"|0x22377377
14:48:13.0 (61602810)|VARIABLE_ASSIGNMENT|[10]|this.Location__c|"India"|0x22377377
14:48:13.0 (61614563)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:48:13.0 (61620612)|HEAP_ALLOCATE|[9]|Bytes:4
14:48:13.0 (61627086)|VARIABLE_ASSIGNMENT|[9]|i|3
14:48:13.0 (61632315)|STATEMENT_EXECUTE|[9]
14:48:13.0 (61633891)|STATEMENT_EXECUTE|[10]
14:48:13.0 (61643863)|HEAP_ALLOCATE|[10]|Bytes:4
14:48:13.0 (61665204)|VARIABLE_ASSIGNMENT|[10]|this.Employee__c|"003f400000KXyvPAAT"|0x4a44f2d0
14:48:13.0 (61679689)|HEAP_ALLOCATE|[10]|Bytes:1
14:48:13.0 (61689480)|HEAP_ALLOCATE|[10]|Bytes:5
14:48:13.0 (61702536)|VARIABLE_ASSIGNMENT|[10]|this.Name|"test3"|0x4a44f2d0
14:48:13.0 (61715698)|VARIABLE_ASSIGNMENT|[10]|this.Job_Category__c|"Junior"|0x4a44f2d0
14:48:13.0 (61727682)|VARIABLE_ASSIGNMENT|[10]|this.Location__c|"India"|0x4a44f2d0
14:48:13.0 (61739144)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:48:13.0 (61745073)|HEAP_ALLOCATE|[9]|Bytes:4
14:48:13.0 (61750776)|VARIABLE_ASSIGNMENT|[9]|i|4
14:48:13.0 (61755867)|STATEMENT_EXECUTE|[9]
14:48:13.0 (61757445)|STATEMENT_EXECUTE|[10]
14:48:13.0 (61766991)|HEAP_ALLOCATE|[10]|Bytes:4
14:48:13.0 (61787326)|VARIABLE_ASSIGNMENT|[10]|this.Employee__c|"003f400000KXyvPAAT"|0x2bac738d
14:48:13.0 (61800921)|HEAP_ALLOCATE|[10]|Bytes:1
14:48:13.0 (61810014)|HEAP_ALLOCATE|[10]|Bytes:5
14:48:13.0 (61822828)|VARIABLE_ASSIGNMENT|[10]|this.Name|"test4"|0x2bac738d
14:48:13.0 (61835436)|VARIABLE_ASSIGNMENT|[10]|this.Job_Category__c|"Junior"|0x2bac738d
14:48:13.0 (61847415)|VARIABLE_ASSIGNMENT|[10]|this.Location__c|"India"|0x2bac738d
14:48:13.0 (61857829)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:48:13.0 (61863976)|HEAP_ALLOCATE|[9]|Bytes:4
14:48:13.0 (61869823)|VARIABLE_ASSIGNMENT|[9]|i|5
14:48:13.0 (61874214)|STATEMENT_EXECUTE|[9]
14:48:13.0 (61875699)|STATEMENT_EXECUTE|[10]
14:48:13.0 (61885815)|HEAP_ALLOCATE|[10]|Bytes:4
14:48:13.0 (61905946)|VARIABLE_ASSIGNMENT|[10]|this.Employee__c|"003f400000KXyvPAAT"|0x6fc81170
14:48:13.0 (61919708)|HEAP_ALLOCATE|[10]|Bytes:1
14:48:13.0 (61928805)|HEAP_ALLOCATE|[10]|Bytes:5
